,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Company,Country,Tickers,Fossil Free Funds: Coal screen,Fossil Free Funds: Oil / gas screen,Fossil Free Funds: Macroclimate30 coal-fired utility screen,Fossil Free Funds: Fossil-fired utility screen,Fossil Free Funds: Clean200 screen,Deforestation Free Funds: Producer screen,Deforestation Free Funds: Financier screen,Deforestation Free Funds: Consumer brand screen,Deforestation Free Funds: Palm oil producer screen,Deforestation Free Funds: Palm oil consumer brand screen,Deforestation Free Funds: Paper / pulp producer screen,Deforestation Free Funds: Paper / pulp consumer brand screen,Deforestation Free Funds: Rubber producer screen,Deforestation Free Funds: Rubber consumer brand screen,Deforestation Free Funds: Timber producer screen,Deforestation Free Funds: Timber consumer brand screen,Deforestation Free Funds: Cattle producer screen,Deforestation Free Funds: Cattle consumer brand screen,Deforestation Free Funds: Soy producer screen,Deforestation Free Funds: Soy consumer brand screen,Weapons Free Funds: Major military contractor screen,Weapons Free Funds: Cluster munitions / landmines screen,Weapons Free Funds: Nuclear weapons screen,Gun Free Funds: Gun manufacturers screen,Gun Free Funds: Gun retailers screen,Tobacco Free Funds: Tobacco producers screen,Tobacco Free Funds: Tobacco-promoting entertainment companies screen,Gender Equality Funds: Has Equileap gender equality score,CreatedDate,Prison Free Funds: Prison industry screen,Prison Free Funds: Border industry screen,Prison Free Funds: Higher risk screen,Prison Free Funds: Private prison operators screen,Fossil Free Funds: Fossil fuel finance screen,Fossil Free Funds: Fossil fuel finance risk score,Fossil Free Funds: Fossil fuel insurance screen,Fossil Free Funds: Fossil fuel insurance risk score,Ticker,Stock_Price
0,374,831,831,British American Tobacco Bangladesh Co Ltd,Bangladesh,BATBC,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,BATBC,0.0
1,693,1490,1490,CVO Petrochemical Refinery Ltd,Bangladesh,CVOPRL,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,CVOPRL,0.0
2,1015,2254,2254,GBB Power Ltd,Bangladesh,GBBPOWER,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,GBBPOWER,0.0
3,1344,2987,2987,Jamuna Oil Co Ltd,Bangladesh,JAMUNAOIL,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,JAMUNAOIL,0.0
4,1405,3162,3162,Khulna Power Co Ltd,Bangladesh,KPCL,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,KPCL,0.0
5,1487,3385,3385,Linde Bangladesh Ltd,Bangladesh,LINDEBD,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,LINDEBD,0.0
6,1569,3589,3589,Meghna Petroleum Ltd,Bangladesh,MPETROLEUM,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,MPETROLEUM,0.0
7,1611,3693,3693,MJL Bangladesh Ltd,Bangladesh,MJLBD,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,MJLBD,0.0
8,1673,3824,3824,National Tubes Ltd,Bangladesh,NTLTUBES,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,NTLTUBES,0.0
9,1679,3837,3837,Navana CNG Ltd,Bangladesh,NAVANACNG,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,NAVANACNG,0.0
