,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Company,Country,Tickers,Fossil Free Funds: Coal screen,Fossil Free Funds: Oil / gas screen,Fossil Free Funds: Macroclimate30 coal-fired utility screen,Fossil Free Funds: Fossil-fired utility screen,Fossil Free Funds: Clean200 screen,Deforestation Free Funds: Producer screen,Deforestation Free Funds: Financier screen,Deforestation Free Funds: Consumer brand screen,Deforestation Free Funds: Palm oil producer screen,Deforestation Free Funds: Palm oil consumer brand screen,Deforestation Free Funds: Paper / pulp producer screen,Deforestation Free Funds: Paper / pulp consumer brand screen,Deforestation Free Funds: Rubber producer screen,Deforestation Free Funds: Rubber consumer brand screen,Deforestation Free Funds: Timber producer screen,Deforestation Free Funds: Timber consumer brand screen,Deforestation Free Funds: Cattle producer screen,Deforestation Free Funds: Cattle consumer brand screen,Deforestation Free Funds: Soy producer screen,Deforestation Free Funds: Soy consumer brand screen,Weapons Free Funds: Major military contractor screen,Weapons Free Funds: Cluster munitions / landmines screen,Weapons Free Funds: Nuclear weapons screen,Gun Free Funds: Gun manufacturers screen,Gun Free Funds: Gun retailers screen,Tobacco Free Funds: Tobacco producers screen,Tobacco Free Funds: Tobacco-promoting entertainment companies screen,Gender Equality Funds: Has Equileap gender equality score,CreatedDate,Prison Free Funds: Prison industry screen,Prison Free Funds: Border industry screen,Prison Free Funds: Higher risk screen,Prison Free Funds: Private prison operators screen,Fossil Free Funds: Fossil fuel finance screen,Fossil Free Funds: Fossil fuel finance risk score,Fossil Free Funds: Fossil fuel insurance screen,Fossil Free Funds: Fossil fuel insurance risk score,Ticker,Stock_Price
0,62,140,140,Agricultural Bank of China Ltd,China,"01288, 601288, ACGBF, ACGBY, EK7",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, ACGBF,0.4300000071525574
1,109,262,262,Aluminum Corporation of China Ltd,China,"02600, 601600, ACH, ACH N, ALMMF, AOC, AOCA, K3HD",N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, ALMMF,0.1899999976158142
2,156,329,329,An Hui Wenergy Co Ltd,China,543,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,543,0.0
3,161,346,346,Anhui Conch Cement Co Ltd,China,"00914, 600585, AHCHF, AHCHY, AQE",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, AHCHF,7.210000038146973
4,162,347,347,Anhui Expressway Co Ltd,China,"00995, 600012, AUHEF, HU7",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, AUHEF,0.5400000214576721
5,163,348,348,Anhui Hengyuan Coal Industry And Electricity Power Co Ltd,China,600971,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,600971,0.0
6,164,349,349,Anhui Province Natural Gas Development Co Ltd,China,603689,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,603689,0.0
7,175,365,365,Anyuan Coal Industry Group Co Ltd,China,600397,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,600397,0.0
8,241,525,525,AviChina Industry & Technology Co Ltd,China,"02357, AVIJF, AVT",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, AVIJF,0.3700000047683716
9,255,565,565,BAIC Motor Corp Ltd,China,"01958, 2B5, BCCMY, BMCLF",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, BCCMY,4.050000190734863
10,269,603,603,Bank Of China Ltd,China,"03988, 601988, BACHF, BACHY, W8V",N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, BACHF,0.3700000047683716
11,270,604,604,Bank Of Chongqing Co Ltd,China,"01963, 04616, CQN",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, CQN,0.0
12,271,605,605,Bank of Communications Co Ltd,China,"03328, 04605, 601328, BCMXY, BKFCF, C4C",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, BKFCF,0.550000011920929
13,273,609,609,Bank of Jinzhou,China,"00416, 2JI, BKJZY",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, BKJZY,0.0
14,275,615,615,Bank of Qingdao Co Ltd,China,"002948, 03866, 4BQ",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, 4BQ,0.0
15,276,618,618,Bank of Tianjin Co Ltd,China,"01578, B95",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, B95,0.0
16,277,619,619,Bank of Zhengzhou Co Ltd,China,"002936, 06196, 3BZ",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, 3BZ,0.0
17,282,631,631,Baotailong New Materials Co Ltd,China,601011,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,601011,0.0
18,290,661,661,BBMG Corp,China,"02009, 601992, 9BM",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, 9BM,0.0
19,297,674,674,Beijing Capital International Airport Co Ltd,China,"00694, BJ1, BJCHF, BJCHY",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, BJCHF,0.699999988079071
20,298,678,678,Beijing Haohua Energy Resource Co Ltd,China,601101,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,601101,0.0
21,299,679,679,Beijing Jingneng Clean Energy Co Ltd,China,"00579, BJ6",N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, BJ6,0.0
22,300,680,680,Beijing Jingneng Power Co Ltd,China,600578,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,600578,0.0
23,309,697,697,Bestsun Energy Co Ltd,China,600681,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,600681,0.0
24,350,775,775,Bomesc Offshore Engineering Co Ltd,China,603727,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,603727,0.0
25,389,885,885,BYD Co Ltd,China,"002594, 01211, 0VSO, BY6, BY6A, BYDDF, BYDDY",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, BYDDF,5.46999979019165
26,448,1034,1034,Central China Securities Co Ltd,China,"01375, 21C, 601375",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, 601375,0.0
27,460,1066,1066,CGN Power Co Ltd,China,"003816, 01816, 94C",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, 94C,0.0
28,463,1074,1074,Changchun Gas Co Ltd,China,600333,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,600333,0.0
29,464,1075,1075,Changchun Sinoenergy Corp,China,600856,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,600856,0.0
30,490,1112,1112,China Cinda Asset Management Co Ltd,China,"01359, 0CI, CCGDF",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0.0,N,0.0, CCGDF,0.20999999344348907
