CreatedDate,Invested_Value
1/21/2021,36541342.93332
1/25/2022,36735448.51438
1/27/2023,31872695.99989
10/19/2021,42861319.62372
10/19/2022,28009379.576169997
11/11/2020,31335941.23094
11/9/2022,27905399.24977
12/14/2021,38324063.41078
12/16/2022,29877849.32911
2/16/2022,35712818.71144
2/8/2023,37368781.42099
3/16/2022,32662194.05718
3/3/2021,37365982.52818
3/9/2023,37056638.00943
4/1/2021,36381934.82254
4/11/2022,32934265.45489
4/14/2020,22987228.73817
5/19/2020,23406542.55937
5/3/2021,38738399.77433
6/10/2020,27349167.08325
7/15/2021,41263329.88045
7/15/2022,29715307.96425
7/16/2020,28101286.21783
8/11/2020,27769871.12557
8/8/2022,32371048.21773
8/9/2021,42174093.88855
9/14/2022,31245855.97596
9/2/2021,42538552.20225
9/28/2020,29395758.22049
