CreatedDate,Invested_Value
1/21/2021,35228642.89052
1/25/2022,35821548.52048
1/27/2023,30714696.00759
10/19/2021,41776319.62372
10/19/2022,26932979.58227
11/11/2020,30101341.24014
11/9/2022,26827449.22987
12/14/2021,37311763.41538
12/16/2022,28770859.31601
2/16/2022,34783918.71754
2/8/2023,36218881.404190004
3/16/2022,31582994.03728
3/3/2021,36256782.50828
3/9/2023,35855538.00333
4/1/2021,35295534.79054
4/11/2022,31868165.448790003
4/14/2020,22386428.73897
5/19/2020,22888642.56927
5/3/2021,37718199.76973
6/10/2020,26726067.08855
7/15/2021,40084929.87895
7/15/2022,28611607.93675
7/16/2020,27453086.22093
8/11/2020,27088071.14157
8/8/2022,31110148.21623
8/9/2021,41074093.88855
9/14/2022,30055955.99726
9/2/2021,41463852.19005
9/28/2020,28571058.20819
