CreatedYear,CreatedMonth,Invested_Value
2020,4,22987228.73817
2020,5,23406542.55937
2020,6,27349167.08325
2020,7,28101286.21783
2020,8,27769871.12557
2020,9,29395758.22049
2020,11,31335941.23094
2021,1,36541342.93332
2021,3,37365982.52818
2021,4,36381934.82254
2021,5,38738399.77433
2021,7,41263329.88045
2021,8,42174093.88855
2021,9,42538552.20225
2021,10,42861319.62372
2021,12,38324063.41078
2022,1,36735448.51438
2022,2,35712818.71144
2022,3,32662194.05718
2022,4,32934265.45489
2022,7,29715307.96425
2022,8,32371048.21773
2022,9,31245855.97596
2022,10,28009379.57617
2022,11,27905399.24977
2022,12,29877849.32911
2023,1,31872695.99989
2023,2,37368781.42099
2023,3,37056638.00943
2023,4,37115181.696472034
2023,5,37173885.22164533
2023,6,37232748.82795625
2023,7,37291772.75914545
2023,8,37350957.25968903
2023,9,37410302.57479956
2023,10,37469808.95042719
2023,11,37529476.63326074
2023,12,37589305.87072877
2024,1,37649296.9110007
2024,2,37709450.00298789
2024,3,37769765.39634474
2024,4,37830243.34146983
2024,5,37890884.08950698
2024,6,37951687.8923464
2024,7,38012655.00262576
2024,8,38073785.67373142
2024,9,38135080.1597994
2024,10,38196538.715716615
2024,11,38258161.597122
2024,12,38319949.0604076
2025,1,38381901.36271975
2025,2,38444018.761960186
