CreatedDate,Invested_Value
2020-04-14,22386428.73897
2020-05-19,22888642.56927
2020-06-10,26726067.08855
2020-07-16,27453086.22093
2020-08-11,27088071.14157
2020-09-28,28571058.20819
2020-11-11,30101341.24014
2021-01-21,35228642.89052
2021-03-03,36256782.50828
2021-04-01,35295534.79054
2021-05-03,37718199.76973
2021-07-15,40084929.87895
2021-08-09,41074093.88855
2021-09-02,41463852.19005
2021-10-19,41776319.62372
2021-12-14,37311763.41538
2022-01-25,35821548.52048
2022-02-16,34783918.71754
2022-03-16,31582994.03728
2022-04-11,31868165.448790003
2022-07-15,28611607.93675
2022-08-08,31110148.21623
2022-09-14,30055955.99726
2022-10-19,26932979.58227
2022-11-09,26827449.22987
2022-12-16,28770859.31601
2023-01-27,30714696.00759
2023-02-08,36218881.40419
2023-03-09,35855538.00333
2023-04-09,35719711.03046089
2023-05-09,36018578.11117363
2023-06-09,35974477.58124414
2023-07-09,36120835.31727413
2023-08-09,36181793.06587581
2023-09-09,35911215.949951574
2023-10-09,36169951.810845286
2023-11-09,36139980.42821329
2023-12-09,36304886.90625964
2024-01-09,36075033.972714186
2024-02-09,36212516.63868695
2024-03-09,35989353.11360124
2024-04-09,35810582.57069897
2024-05-09,35802157.39629292
2024-06-09,36020223.821036346
2024-07-09,36281202.96741563
2024-08-09,36471131.36401078
2024-09-09,36400382.67671761
2024-10-09,36647233.87515997
2024-11-09,36811299.7547639
2024-12-09,37003102.25058842
2025-01-09,37166699.07218014
2025-02-09,37309777.38524125
