CreatedDate,Invested_Value
2020-04-14,22987228.73817
2020-05-19,23406542.55937
2020-06-10,27349167.08325
2020-07-16,28101286.21783
2020-08-11,27769871.12557
2020-09-28,29395758.22049
2020-11-11,31335941.23094
2021-01-21,36541342.93332
2021-03-03,37365982.52818
2021-04-01,36381934.82254
2021-05-03,38738399.77433
2021-07-15,41263329.88045
2021-08-09,42174093.88855
2021-09-02,42538552.20225
2021-10-19,42861319.62372
2021-12-14,38324063.41078
2022-01-25,36735448.51438
2022-02-16,35712818.71144
2022-03-16,32662194.05718
2022-04-11,32934265.45489
2022-07-15,29715307.96425
2022-08-08,32371048.21773
2022-09-14,31245855.97596
2022-10-19,28009379.576169997
2022-11-09,27905399.24977
2022-12-16,29877849.32911
2023-01-27,31872695.99989
2023-02-08,37368781.42099
2023-03-09,37056638.00943
2023-04-09,37115181.696472034
2023-05-09,37173885.22164533
2023-06-09,37232748.82795625
2023-07-09,37291772.75914545
2023-08-09,37350957.25968903
2023-09-09,37410302.57479956
2023-10-09,37469808.95042719
2023-11-09,37529476.63326074
2023-12-09,37589305.87072877
2024-01-09,37649296.9110007
2024-02-09,37709450.002987884
2024-03-09,37769765.39634474
2024-04-09,37830243.34146983
2024-05-09,37890884.08950698
2024-06-09,37951687.8923464
2024-07-09,38012655.00262576
2024-08-09,38073785.67373142
2024-09-09,38135080.1597994
2024-10-09,38196538.715716615
2024-11-09,38258161.597122
2024-12-09,38319949.0604076
2025-01-09,38381901.36271975
2025-02-09,38444018.761960186
