,CreatedDate,Invested_Value,Invested_Value_NoImpact
0,2020-04-14,22879228.73627,22879228.73627
1,2020-05-19,23304542.56127,23304542.56127
2,2020-06-10,27228967.07865,27228967.07865
3,2020-07-16,27975586.22093,27975586.22093
4,2020-08-11,27637771.12517,27637771.12517
5,2020-09-28,29273358.22279,29273358.22279
6,2020-11-11,31208941.23284,31208941.23284
7,2021-01-21,36387742.93672,36387742.93672
8,2021-03-03,37187982.53578,37187982.53578
9,2021-04-01,36200134.81944,36200134.81944
10,2021-05-03,38547999.76513,38547999.76513
11,2021-07-15,41048929.87515,41048929.87515
12,2021-08-09,41972293.88545,41972293.88545
13,2021-09-02,42324552.20605,42324552.20605
14,2021-10-19,42610719.62902,42610719.62902
15,2021-12-14,38104163.41308,38104163.41308
16,2022-01-25,36471848.50828,36471848.50828
17,2022-02-16,35429318.70764,35429318.70764
18,2022-03-16,32354194.06478,32354194.06478
19,2022-04-11,32619665.46409,32619665.46409
20,2022-07-15,29397407.95505,29397407.95505
21,2022-08-08,32054048.21013,32054048.21013
22,2022-09-14,30927055.98436,30927055.98436
23,2022-10-19,27702379.56857,27702379.56857
24,2022-11-09,27585499.252070002,27585499.252070002
25,2022-12-16,29592849.32911,29592849.32911
26,2023-01-27,31560995.99909,31560995.99909
27,2023-02-08,37070181.41489,37070181.41489
28,2023-03-09,36760238.01553,36760238.01553
29,2023-04-09,36786750.37289411,36819263.29263858
30,2023-05-09,36698838.27410335,36763820.211403646
31,2023-06-09,36997500.94099138,37095355.68042707
32,2023-07-09,37017533.706996106,37148282.79274935
33,2023-08-09,37044900.52157157,37208495.73729549
34,2023-09-09,37043402.1517233,37239645.57272784
35,2023-10-09,37213757.97152834,37443290.70534019
36,2023-11-09,37252480.07085425,37514718.51712769
37,2023-12-09,37585270.018310495,37882241.9757672
38,2024-01-09,37612888.056244984,37943102.868148394
39,2024-02-09,37809508.29144152,38174162.53972189
40,2024-03-09,37926762.53471615,38325791.38881658
41,2024-04-09,38102697.5733621,38536463.03986119
42,2024-05-09,38155815.12223445,38625039.32285567
43,2024-06-09,38282311.05315831,38788176.73514007
44,2024-07-09,38309068.768150836,38850435.232678026
45,2024-08-09,38552417.63062655,39129695.51666774
46,2024-09-09,38638566.11851062,39250889.33146553
47,2024-10-09,38694029.86758957,39340404.44741283
48,2024-11-09,38649472.46126922,39330988.683573104
49,2024-12-09,38493864.08781225,39208467.96019336
50,2025-01-09,38539381.26361051,39290686.641910024
51,2025-02-09,38422937.693368256,39205881.8634262
52,2025-03-09,38396676.94712075,39214111.54813104
53,2025-04-09,38286872.127801485,39138494.09909712
54,2025-05-09,38511068.990801364,39398300.09289827
55,2025-06-09,38521720.842949085,39442791.038989276
56,2025-07-09,38637234.412554495,39594465.75261048
57,2025-08-09,38783682.94218438,39777599.40968048
58,2025-09-09,38830701.40866295,39860694.98885256
59,2025-10-09,39161701.57235776,40234802.69472112
60,2025-11-09,39055905.82897845,40161569.95122978
61,2025-12-09,39187385.28508481,40332573.546505906
62,2026-01-09,39342260.64883377,40524149.521872126
63,2026-02-09,39513470.94679213,40733016.80248579
64,2026-03-09,39548155.83488916,40806241.24369639
65,2026-04-09,39574636.5842164,40866187.80983402
66,2026-05-09,39489057.05498286,40817988.07041742
67,2026-06-09,39612586.671375655,40984180.729267605
68,2026-07-09,39595105.227897875,41003355.83612197
69,2026-08-09,39425774.22294698,40864432.228424884
70,2026-09-09,39294659.64544186,40766869.89481896
71,2026-10-09,39604751.635161854,41117302.80259685
72,2026-11-09,39631482.90018172,41181206.52400241
73,2026-12-09,39662516.84932835,41252810.424907774
74,2027-01-09,39842854.333302245,41474656.193442814
75,2027-02-09,40137181.550237775,41814992.76728168
76,2027-03-09,40322157.292380884,42041974.75997303
77,2027-04-09,40382625.55992796,42141182.791965924
78,2027-05-09,40319923.11505785,42114308.809054025
79,2027-06-09,40475993.741228215,42315753.00608547
80,2027-07-09,40390690.60204937,42263597.70979069
81,2027-08-09,40262185.1888668,42172400.612885
82,2027-09-09,40464687.74740396,42416333.980736725
83,2027-10-09,40709940.04011867,42705102.29078978
84,2027-11-09,40856445.58271055,42892922.76746402
85,2027-12-09,40945267.79015836,43020520.87581393
86,2028-01-09,41201054.22459494,43320465.868484765
87,2028-02-09,41339112.37308653,43503234.228217065
88,2028-03-09,41199005.52956632,43396181.03434577
89,2028-04-09,41042675.10036707,43272452.488675036
90,2028-05-09,41308838.557270475,43588081.60657965
91,2028-06-09,41660105.53820978,43990154.666298196
92,2028-07-09,41602206.5849398,43971113.593019724
93,2028-08-09,41970295.27331424,44393549.607951134
94,2028-09-09,42099859.64079248,44571083.12268774
95,2028-10-09,42123865.68452968,44636795.80247137
96,2028-11-09,42140232.89267404,44692838.13924326
97,2028-12-09,42310289.84482379,44907087.12996612
98,2029-01-09,42426017.00264912,45072655.37136668
99,2029-02-09,42586474.396679826,45276822.48251881
100,2029-03-09,42773511.58649038,45509596.60017447
101,2029-04-09,43135971.55625405,45922722.98323748
102,2029-05-09,43353916.055779494,46186785.770117536
103,2029-06-09,43731033.127472274,46631050.49983782
104,2029-07-09,43843041.06476397,46784737.94782316
105,2029-08-09,43897403.16528563,46885264.275304265
106,2029-09-09,43914011.45224551,46938440.12206671
107,2029-10-09,44132150.12453382,47212256.30533132
108,2029-11-09,44244520.009803504,47374106.43670832
109,2029-12-09,44255655.47190662,47422528.56726656
110,2030-01-09,44429461.83212154,47648384.32822001
111,2030-02-09,44709686.7785894,47975287.77544369
