CreatedDate,Invested_Value
2020-04-14,22987228.73817
2020-05-19,23406542.55937
2020-06-10,27349167.08325
2020-07-16,28101286.21783
2020-08-11,27769871.12557
2020-09-28,29395758.22049
2020-11-11,31335941.23094
2021-01-21,36541342.93332
2021-03-03,37365982.52818
2021-04-01,36381934.82254
2021-05-03,38738399.77433
2021-07-15,41263329.88045
2021-08-09,42174093.88855
2021-09-02,42538552.20225
2021-10-19,42861319.62372
2021-12-14,38324063.41078
2022-01-25,36735448.51438
2022-02-16,35712818.71144
2022-03-16,32662194.05718
2022-04-11,32934265.45489
2022-07-15,29715307.96425
2022-08-08,32371048.21773
2022-09-14,31245855.97596
2022-10-19,28009379.576169997
2022-11-09,27905399.24977
2022-12-16,29877849.32911
2023-01-27,31872695.99989
2023-02-08,37368781.42099
2023-03-09,37056638.00943
2023-04-09,37272279.623769335
2023-05-09,37489246.199582785
2023-06-09,37707546.11956985
2023-07-09,37927187.82039114
2023-08-09,38148179.79302003
2023-09-09,38370530.5830968
2023-10-09,38594248.79128496
2023-11-09,38819343.073630005
2023-12-09,39045822.14192051
2024-01-09,39273694.76405161
2024-02-09,39502969.76439088
2024-03-09,39733656.02414662
2024-04-09,39965762.481738575
2024-05-09,40199298.1331711
2024-06-09,40434272.03240878
2024-07-09,40670693.291754566
2024-08-09,40908571.082230315
2024-09-09,41147914.63395995
2024-10-09,41388733.23655508
2024-11-09,41631036.23950317
2024-12-09,41874833.05255831
2025-01-09,42120133.14613454
2025-02-09,42366946.051701725
2025-03-09,42615281.36218413
2025-04-09,42865148.73236159
2025-05-09,43116557.8792733
2025-06-09,43369518.5826243
2025-07-09,43624040.685194634
2025-08-09,43880134.093251206
2025-09-09,44137808.776962414
2025-10-09,44397074.770815425
2025-11-09,44657942.17403626
2025-12-09,44920421.15101267
2026-01-09,45184521.93171976
2026-02-09,45450254.81214849
2026-03-09,45717630.154736914
2026-04-09,45986658.38880437
2026-05-09,46257350.01098844
2026-06-09,46529715.58568491
2026-07-09,46803765.74549053
2026-08-09,47079511.19164877
2026-09-09,47356962.69449849
2026-10-09,47636131.09392558
2026-11-09,47917027.299817614
2026-12-09,48199662.292521484
2027-01-09,48484047.12330405
2027-02-09,48770192.91481585
2027-03-09,49058110.86155791
2027-04-09,49347812.23035157
2027-05-09,49639308.36081149
2027-06-09,49932610.665821716
2027-07-09,50227730.63201499
2027-08-09,50524679.82025509
2027-09-09,50823469.86612256
2027-10-09,51124112.4804034
2027-11-09,51426619.44958125
2027-12-09,51731002.63633265
2028-01-09,52037273.98002567
2028-02-09,52345445.49722177
2028-03-09,52655529.28218106
2028-04-09,52967537.50737083
2028-05-09,53281482.423977554
2028-06-09,53597376.36242212
2028-07-09,53915231.732878655
2028-08-09,54235061.02579664
2028-09-09,54556876.81242657
2028-10-09,54880691.74534903
2028-11-09,55206518.559007384
2028-12-09,55534370.070243865
2029-01-09,55864259.17883926
2029-02-09,56196198.86805624
2029-03-09,56530202.205186196
2029-04-09,56866282.34209976
2029-05-09,57204452.51580094
2029-06-09,57544726.04898492
2029-07-09,57887116.35059964
2029-08-09,58231636.91641097
2029-09-09,58578301.329571724
2029-10-09,58927123.261194445
2029-11-09,59278116.47092794
2029-12-09,59631294.80753763
2030-01-09,59986672.20948985
2030-02-09,60344262.70553991
2030-03-09,60704080.41532412
2030-04-09,61066139.54995571
2030-05-09,61430454.41262472
2030-06-09,61797039.39920187
2030-07-09,62165908.99884644
2030-08-09,62537077.794618204
2030-09-09,62910560.464093335
2030-10-09,63286371.7799845
2030-11-09,63664526.610765055
2030-12-09,64045039.921297334
2031-01-09,64427926.77346511
2031-02-09,64813202.32681036
2031-03-09,65200881.8391741
2031-04-09,65590980.66734158
2031-05-09,65983514.26769178
2031-06-09,66378498.196851104
2031-07-09,66775948.11235155
2031-08-09,67175879.77329318
2031-09-09,67578309.04101095
2031-10-09,67983251.87974611
2031-11-09,68390724.35732192
2031-12-09,68800742.64582388
2032-01-09,69213323.02228463
2032-02-09,69628481.86937317
2032-03-09,70046235.67608881
2032-04-09,70466601.03845975
2032-05-09,70889594.66024616
2032-06-09,71315233.35364813
2032-07-09,71743534.04001811
2032-08-09,72174513.75057831
2032-09-09,72608189.6271427
2032-10-09,73044578.92284386
2032-11-09,73483699.00286475
2032-12-09,73925567.34517515
2033-01-09,74370201.54127328
2033-02-09,74817619.29693206
2033-03-09,75267838.43295054
2033-04-09,75720876.88591026
2033-05-09,76176752.7089366
2033-06-09,76635484.0724653
2033-07-09,77097089.265014
2033-08-09,77561586.69395888
2033-09-09,78028994.88631667
2033-10-09,78499332.48953156
2033-11-09,78972618.27226758
2033-12-09,79448871.12520626
2034-01-09,79928110.06184939
