,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Company,Country,Tickers,Fossil Free Funds: Coal screen,Fossil Free Funds: Oil / gas screen,Fossil Free Funds: Macroclimate30 coal-fired utility screen,Fossil Free Funds: Fossil-fired utility screen,Fossil Free Funds: Clean200 screen,Deforestation Free Funds: Producer screen,Deforestation Free Funds: Financier screen,Deforestation Free Funds: Consumer brand screen,Deforestation Free Funds: Palm oil producer screen,Deforestation Free Funds: Palm oil consumer brand screen,Deforestation Free Funds: Paper / pulp producer screen,Deforestation Free Funds: Paper / pulp consumer brand screen,Deforestation Free Funds: Rubber producer screen,Deforestation Free Funds: Rubber consumer brand screen,Deforestation Free Funds: Timber producer screen,Deforestation Free Funds: Timber consumer brand screen,Deforestation Free Funds: Cattle producer screen,Deforestation Free Funds: Cattle consumer brand screen,Deforestation Free Funds: Soy producer screen,Deforestation Free Funds: Soy consumer brand screen,Weapons Free Funds: Major military contractor screen,Weapons Free Funds: Cluster munitions / landmines screen,Weapons Free Funds: Nuclear weapons screen,Gun Free Funds: Gun manufacturers screen,Gun Free Funds: Gun retailers screen,Tobacco Free Funds: Tobacco producers screen,Tobacco Free Funds: Tobacco-promoting entertainment companies screen,Gender Equality Funds: Has Equileap gender equality score,CreatedDate,Prison Free Funds: Prison industry screen,Prison Free Funds: Border industry screen,Prison Free Funds: Higher risk screen,Prison Free Funds: Private prison operators screen,Fossil Free Funds: Fossil fuel finance screen,Fossil Free Funds: Fossil fuel finance risk score,Fossil Free Funds: Fossil fuel insurance screen,Fossil Free Funds: Fossil fuel insurance risk score,Ticker,Stock_Price
0,453,1043,1043,Centrenergo PJSC,Ukraine,"CEEN, CTEUY, DBG",N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0, DBG,0.0
1,479,1097,1097,Chernigivgaz Corp,Ukraine,CHGZ,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,CHGZ,0.0
2,480,1098,1098,Chernigivoblenergo OJSC,Ukraine,CHEON,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,CHEON,0.0
3,762,1670,1670,Donbasenergo PJSC,Ukraine,DOEN,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,DOEN,0.0
4,763,1671,1671,Donetsk Metallurgical Plant PJSC,Ukraine,DOMZ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,DOMZ,0.0
5,764,1672,1672,Donetskoblgaz PJSC,Ukraine,DOGZ,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,DOGZ,1.090000033378601
6,775,1698,1698,DTEK Zakhidenergo PJSC,Ukraine,ZKHRF,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,ZKHRF,0.0
7,1335,2963,2963,Ivanovo-Frankivsky plant Promprylad OJSC,Ukraine,PPRD,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,PPRD,0.0
8,1433,3250,3250,Krymgaz OJSC,Ukraine,KRYG,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,KRYG,0.0
9,2508,5968,5968,Ukrnafta PJSC,Ukraine,UNAF,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0.0,N,0.0,UNAF,0.0
