Measure,Stock_Price
Fossil Free Funds: Coal screen,-0.187001233
Fossil Free Funds: Oil / gas screen,-0.311368242
Fossil Free Funds: Macroclimate30 coal-fired utility screen,
Fossil Free Funds: Fossil-fired utility screen,-0.087662274
Fossil Free Funds: Clean200 screen,0.054108889
Deforestation Free Funds: Producer screen,-0.047974318
Deforestation Free Funds: Financier screen,
Deforestation Free Funds: Consumer brand screen,0.063466231
Deforestation Free Funds: Palm oil producer screen,-0.100840049
Deforestation Free Funds: Palm oil consumer brand screen,0.081142397
Deforestation Free Funds: Paper / pulp producer screen,-0.071100908
Deforestation Free Funds: Paper / pulp consumer brand screen,0.063466231
Deforestation Free Funds: Rubber producer screen,
Deforestation Free Funds: Rubber consumer brand screen,
Deforestation Free Funds: Timber producer screen,
Deforestation Free Funds: Timber consumer brand screen,
Deforestation Free Funds: Cattle producer screen,-0.008167397
Deforestation Free Funds: Cattle consumer brand screen,0.086304855
Deforestation Free Funds: Soy producer screen,-0.071100908
Deforestation Free Funds: Soy consumer brand screen,0.081142397
Weapons Free Funds: Major military contractor screen,
Weapons Free Funds: Cluster munitions / landmines screen,
Weapons Free Funds: Nuclear weapons screen,
Gun Free Funds: Gun manufacturers screen,
Gun Free Funds: Gun retailers screen,
Tobacco Free Funds: Tobacco producers screen,0.014285591
Tobacco Free Funds: Tobacco-promoting entertainment companies screen,
Gender Equality Funds: Has Equileap gender equality score,0.435409534
Prison Free Funds: Prison industry screen,
Prison Free Funds: Border industry screen,
Prison Free Funds: Higher risk screen,
Prison Free Funds: Private prison operators screen,
Fossil Free Funds: Fossil fuel finance screen,
Fossil Free Funds: Fossil fuel finance risk score,
Fossil Free Funds: Fossil fuel insurance screen,
Fossil Free Funds: Fossil fuel insurance risk score,
Stock_Price,1
