Measure,Stock_Price
Fossil Free Funds: Coal screen,-0.163861378
Fossil Free Funds: Oil / gas screen,-0.09550624
Fossil Free Funds: Macroclimate30 coal-fired utility screen,0.052088771
Fossil Free Funds: Fossil-fired utility screen,-0.17743833
Fossil Free Funds: Clean200 screen,0.041042354
Deforestation Free Funds: Producer screen,-0.022057748
Deforestation Free Funds: Financier screen,0.141828608
Deforestation Free Funds: Consumer brand screen,-0.079948556
Deforestation Free Funds: Palm oil producer screen,0.117488647
Deforestation Free Funds: Palm oil consumer brand screen,-0.041367096
Deforestation Free Funds: Paper / pulp producer screen,-0.029194194
Deforestation Free Funds: Paper / pulp consumer brand screen,-0.072214269
Deforestation Free Funds: Rubber producer screen,-0.029194194
Deforestation Free Funds: Rubber consumer brand screen,-0.029194194
Deforestation Free Funds: Timber producer screen,-0.029194194
Deforestation Free Funds: Timber consumer brand screen,-0.053400886
Deforestation Free Funds: Cattle producer screen,
Deforestation Free Funds: Cattle consumer brand screen,-0.029194194
Deforestation Free Funds: Soy producer screen,-0.050763027
Deforestation Free Funds: Soy consumer brand screen,-0.050763027
Weapons Free Funds: Major military contractor screen,
Weapons Free Funds: Cluster munitions / landmines screen,-0.029194194
Weapons Free Funds: Nuclear weapons screen,
Gun Free Funds: Gun manufacturers screen,
Gun Free Funds: Gun retailers screen,
Tobacco Free Funds: Tobacco producers screen,
Tobacco Free Funds: Tobacco-promoting entertainment companies screen,
Gender Equality Funds: Has Equileap gender equality score,0.547859604
Prison Free Funds: Prison industry screen,
Prison Free Funds: Border industry screen,
Prison Free Funds: Higher risk screen,
Prison Free Funds: Private prison operators screen,
Fossil Free Funds: Fossil fuel finance screen,0.128398091
Fossil Free Funds: Fossil fuel finance risk score,0.127995557
Fossil Free Funds: Fossil fuel insurance screen,0.075260041
Fossil Free Funds: Fossil fuel insurance risk score,0.07519815
Stock_Price,1
