Measure,Stock_Price
Fossil Free Funds: Coal screen,
Fossil Free Funds: Oil / gas screen,-0.114727133
Fossil Free Funds: Macroclimate30 coal-fired utility screen,-0.011790526
Fossil Free Funds: Fossil-fired utility screen,-0.154319759
Fossil Free Funds: Clean200 screen,-0.006803397
Deforestation Free Funds: Producer screen,-0.115628903
Deforestation Free Funds: Financier screen,0.10160312
Deforestation Free Funds: Consumer brand screen,0.143137432
Deforestation Free Funds: Palm oil producer screen,-0.058520183
Deforestation Free Funds: Palm oil consumer brand screen,0.108359409
Deforestation Free Funds: Paper / pulp producer screen,
Deforestation Free Funds: Paper / pulp consumer brand screen,0.16013043
Deforestation Free Funds: Rubber producer screen,-0.058520183
Deforestation Free Funds: Rubber consumer brand screen,
Deforestation Free Funds: Timber producer screen,-0.104338547
Deforestation Free Funds: Timber consumer brand screen,0.047901446
Deforestation Free Funds: Cattle producer screen,
Deforestation Free Funds: Cattle consumer brand screen,0.105185195
Deforestation Free Funds: Soy producer screen,
Deforestation Free Funds: Soy consumer brand screen,0.034145727
Weapons Free Funds: Major military contractor screen,0.019016116
Weapons Free Funds: Cluster munitions / landmines screen,
Weapons Free Funds: Nuclear weapons screen,0.042381727
Gun Free Funds: Gun manufacturers screen,-0.033729594
Gun Free Funds: Gun retailers screen,
Tobacco Free Funds: Tobacco producers screen,
Tobacco Free Funds: Tobacco-promoting entertainment companies screen,
Gender Equality Funds: Has Equileap gender equality score,0.220588718
Prison Free Funds: Prison industry screen,0.032897866
Prison Free Funds: Border industry screen,0.076591994
Prison Free Funds: Higher risk screen,-0.023389326
Prison Free Funds: Private prison operators screen,-0.023389326
Fossil Free Funds: Fossil fuel finance screen,0.000673703
Fossil Free Funds: Fossil fuel finance risk score,0.000825868
Fossil Free Funds: Fossil fuel insurance screen,-0.018450718
Fossil Free Funds: Fossil fuel insurance risk score,-0.018535774
Stock_Price,1
