Measure,Stock_Price
Fossil Free Funds: Coal screen,-0.047905609
Fossil Free Funds: Oil / gas screen,-0.094290724
Fossil Free Funds: Macroclimate30 coal-fired utility screen,-0.046618489
Fossil Free Funds: Fossil-fired utility screen,0.044089745
Fossil Free Funds: Clean200 screen,-0.000125388
Deforestation Free Funds: Producer screen,-0.052279331
Deforestation Free Funds: Financier screen,
Deforestation Free Funds: Consumer brand screen,0.013949106
Deforestation Free Funds: Palm oil producer screen,-0.052279331
Deforestation Free Funds: Palm oil consumer brand screen,-0.072525926
Deforestation Free Funds: Paper / pulp producer screen,-0.036698163
Deforestation Free Funds: Paper / pulp consumer brand screen,0.047718236
Deforestation Free Funds: Rubber producer screen,
Deforestation Free Funds: Rubber consumer brand screen,
Deforestation Free Funds: Timber producer screen,-0.02585599
Deforestation Free Funds: Timber consumer brand screen,-0.02585599
Deforestation Free Funds: Cattle producer screen,
Deforestation Free Funds: Cattle consumer brand screen,0.261434392
Deforestation Free Funds: Soy producer screen,-0.045109656
Deforestation Free Funds: Soy consumer brand screen,-0.061643907
Weapons Free Funds: Major military contractor screen,0.157285881
Weapons Free Funds: Cluster munitions / landmines screen,0.247488649
Weapons Free Funds: Nuclear weapons screen,0.270100439
Gun Free Funds: Gun manufacturers screen,
Gun Free Funds: Gun retailers screen,
Tobacco Free Funds: Tobacco producers screen,-0.010541846
Tobacco Free Funds: Tobacco-promoting entertainment companies screen,
Gender Equality Funds: Has Equileap gender equality score,0.129658053
Prison Free Funds: Prison industry screen,
Prison Free Funds: Border industry screen,
Prison Free Funds: Higher risk screen,
Prison Free Funds: Private prison operators screen,
Fossil Free Funds: Fossil fuel finance screen,0.129553407
Fossil Free Funds: Fossil fuel finance risk score,0.129553407
Fossil Free Funds: Fossil fuel insurance screen,
Fossil Free Funds: Fossil fuel insurance risk score,
Stock_Price,1
