,0,1,2
0,Cresud SACIF y A,Argentina, CRESY
0,YPF SA,Argentina,YPF
0,China Mengniu Dairy Co Ltd,Cayman Islands, CIADF
0,CK Hutchison Holdings Ltd,Cayman Islands, CKHUF
0,Hengan International Group Co Ltd,Cayman Islands, HEGIF
0,Li Ning Co Ltd,Cayman Islands, LNNGF
0,WH Group Ltd,Cayman Islands, WHGLY
0,Bank Of China Ltd,China, BACHF
0,Industrial And Commercial Bank Of China Ltd,China, IDCBF
0,ZTE Corp,China, ZTCOF
0,BNP Paribas,France, BNPQF
0,Bollore SE,France, BOIVF
0,Carrefour,France, CAR
0,Casino Guichard-Perrachon SA,France, CAJ
0,Compagnie de l`Odet,France, FCODF
0,Compagnie de Saint-Gobain SA,France, CODGF
0,Danone SA,France, BN
0,Kering SA,France, PPRUF
0,L'Oreal SA,France, LRLCF
0,LVMH Moet Hennessy Louis Vuitton SE,France, LVMHF
0,Savencia SA,France, BHP
0,Sodexo,France, SDXAY
0,Bhartiya International Ltd,India, BIL
0,Golden Agri-Resources Ltd,Mauritius, GARPF
0,Capri Holdings Ltd,"Virgin Islands, British", CPRI
