Measure,Stock_Price
Fossil Free Funds: Coal screen,
Fossil Free Funds: Oil / gas screen,
Fossil Free Funds: Macroclimate30 coal-fired utility screen,
Fossil Free Funds: Fossil-fired utility screen,
Fossil Free Funds: Clean200 screen,
Deforestation Free Funds: Producer screen,
Deforestation Free Funds: Financier screen,
Deforestation Free Funds: Consumer brand screen,
Deforestation Free Funds: Palm oil producer screen,
Deforestation Free Funds: Palm oil consumer brand screen,
Deforestation Free Funds: Paper / pulp producer screen,
Deforestation Free Funds: Paper / pulp consumer brand screen,
Deforestation Free Funds: Rubber producer screen,
Deforestation Free Funds: Rubber consumer brand screen,
Deforestation Free Funds: Timber producer screen,
Deforestation Free Funds: Timber consumer brand screen,
Deforestation Free Funds: Cattle producer screen,
Deforestation Free Funds: Cattle consumer brand screen,
Deforestation Free Funds: Soy producer screen,
Deforestation Free Funds: Soy consumer brand screen,
Weapons Free Funds: Major military contractor screen,
Weapons Free Funds: Cluster munitions / landmines screen,
Weapons Free Funds: Nuclear weapons screen,
Gun Free Funds: Gun manufacturers screen,
Gun Free Funds: Gun retailers screen,
Tobacco Free Funds: Tobacco producers screen,
Tobacco Free Funds: Tobacco-promoting entertainment companies screen,
Gender Equality Funds: Has Equileap gender equality score,
Prison Free Funds: Prison industry screen,
Prison Free Funds: Border industry screen,
Prison Free Funds: Higher risk screen,
Prison Free Funds: Private prison operators screen,
Fossil Free Funds: Fossil fuel finance screen,
Fossil Free Funds: Fossil fuel finance risk score,
Fossil Free Funds: Fossil fuel insurance screen,
Fossil Free Funds: Fossil fuel insurance risk score,
Stock_Price,1
