,0,1,2
0,Central Puerto SA,Argentina, CEPU
0,Pampa Energia SA,Argentina, PAM
0,Transportadora de Gas del Sur SA,Argentina, TGS
0,YPF SA,Argentina,YPF
0,AAG Energy Holdings Ltd,Cayman Islands, AAGEF
0,Anton Oilfield Services Group,Cayman Islands, ATONF
0,Brooge Energy Ltd,Cayman Islands, BROG
0,CIMC Enric Holdings Ltd,Cayman Islands, CIMEF
0,ENN Energy Holdings Ltd,Cayman Islands, XNGSF
0,Fenikso Ltd,Cayman Islands,FNK
0,GCL Technology Holdings Ltd,Cayman Islands, GCPEF
0,Geely Automobile Holdings Ltd,Cayman Islands, GELYF
0,Hidili Industry International Development Ltd,Cayman Islands, HIIDQ
0,Indonesia Energy Corp Ltd,Cayman Islands,INDO
0,JinkoSolar Holding Co Ltd,Cayman Islands, JKS
0,Jutal Offshore Oil Services Ltd,Cayman Islands, JUTOY
0,Li Auto Inc,Cayman Islands, LI
0,Mongolian Mining Corp,Cayman Islands, MOGLF
0,NIO Inc,Cayman Islands, NIO
0,Perennial Energy Holdings Ltd,Cayman Islands, PEZ
0,Recon Technology Ltd,Cayman Islands, RCON
0,Sany Heavy Equipment International Holdings Co Ltd,Cayman Islands, SNYYF
0,Shelf Drilling Ltd,Cayman Islands, SHLLF
0,Shengli Oil & Gas Pipe Holdings Ltd,Cayman Islands, GSG
0,SPT Energy Group Inc,Cayman Islands, SEGYY
0,Tethys Petroleum Ltd,Cayman Islands, TETHF
0,Tianneng Power International Ltd,Cayman Islands, TIANF
0,Towngas Smart Energy Co Ltd,Cayman Islands, PGJ
0,Vantage Drilling Co,Cayman Islands,VTGDF
0,Vantage Drilling International,Cayman Islands,VTDRF
0,Xinyi Solar Holdings Ltd,Cayman Islands, XISHY
0,Yadea Group Holdings Ltd,Cayman Islands, YADGF
0,Agricultural Bank of China Ltd,China, ACGBF
0,Aluminum Corp of China Ltd,China, ACHHY
0,Bank Of China Ltd,China, BACHF
0,Bank of Communications Co Ltd,China, BCMXY
0,BYD Co Ltd,China, BYDDF
0,China Citic Bank Corp Ltd,China, CHBJF
0,China Coal Energy Co Ltd,China, CCOZF
0,China Construction Bank Corp,China, CICHF
0,China Everbright Bank Co Ltd,China, CEBCF
0,China Longyuan Power Group Corp Ltd,China, CLPXF
0,China Merchants Bank Co Ltd,China, CIHHF
0,China Minsheng Banking Corp Ltd,China, CGMBF
0,China Oilfield Services Ltd,China, CHOLF
0,China Petroleum & Chemical Corp,China, SNPMF
0,China Railway Signal & Communication Corp Ltd,China, CRYCY
0,China Shenhua Energy Co Ltd,China, CSUAY
0,China Suntien Green Energy Corp Ltd,China, CSGEF
0,Datang International Power Generation Co Ltd,China, DAT
0,Dongfang Electric Corp Ltd,China, DNGFF
0,GEM Co Ltd,China, GEM
0,Huadian Power International Corp Ltd,China, HPIFF
0,Huaneng Power International Inc,China, HUNGF
0,Industrial And Commercial Bank Of China Ltd,China, IDCBF
0,Inner Mongolia Yitai Coal Co Ltd,China, IMYCF
0,PetroChina Co Ltd,China, PCCYF
0,Ping An Insurance (Group) Co. of China Ltd,China, PIAIF
0,Postal Savings Bank Of China Co Ltd,China, PSBKF
0,Shandong Molong Petroleum Machinery Co Ltd,China, PXI
0,SINOPEC Engineering (Group) Co Ltd,China, SENGF
0,Sinopec Oilfield Service Corp,China, YZCFF
0,Sinopec Shanghai Petrochemical Co Ltd,China, SHIIY
0,The People's Insurance Co (Group) of China Ltd,China, PINXF
0,Weiqiao Textile Co Ltd,China, WQTEF
0,Xinjiang Goldwind Science & Technology Co Ltd,China, XJNGF
0,Yankuang Energy Group Co Ltd,China, YZCAY
0,Zhuzhou CRRC Times Electric Co Ltd,China, ZHUZF
0,Air Liquide SA,France, AI
0,Alstom SA,France, ALSMY
0,AXA SA,France, AXAHF
0,BNP Paribas,France, BNPQF
0,CGG,France, CGGYY
0,Credit Agricole SA,France, ACA
0,Dassault Systemes SE,France, DASTF
0,Electricite de France SA,France, ECIFF
0,Engie SA,France, ENGIY
0,Esso SAF,France, ES
0,Etablissements Maurel & Prom,France, ETX
0,Gaztransport et technigaz SA,France, GZPZF
0,Kering SA,France, PPRUF
0,Nexans,France, NEX
0,Rexel SA,France, RXEEY
0,Rubis SCA,France, BYN
0,Sanofi SA,France, SAN
0,Schneider Electric SE,France, SBGSF
0,SCOR SE,France, SCRYY
0,Societe Generale SA,France, SCGLF
0,TotalEnergies SE,France, TTE
0,Valeo SA,France, FR
0,Veolia Environnement SA,France, VEOEF
0,GAIL (India) Ltd,India, GAIA
0,Hindalco Industries Ltd,India, HNDNF
0,Oil India Ltd,India, OIL
0,Power Finance Corp Ltd,India, PFC
0,Reliance Industries Ltd,India, RLI
0,Reliance Infrastructure Ltd,India, RELFF
0,State Bank of India,India, SBKFF
0,Tata Steel Ltd,India, TATLY
0,AES Indiana,United States,IPWLG
0,ALLETE Inc,United States, ALE
0,Alliant Energy Corp,United States, LNT
0,Ameren Corp,United States, AEE
0,American Electric Power Co Inc,United States, AEP
0,Atmos Energy Corp,United States, AEO
0,Avangrid Inc,United States, AGR
0,Avista Corp,United States, AVA
0,Berkshire Hathaway Inc,United States, BRYN
0,Black Hills Corp,United States, BKH
0,CenterPoint Energy Inc,United States, CNP
0,Chesapeake Utilities Corp,United States, CPK
0,China Natural Gas Inc,United States,CHNGQ
0,CMS Energy Corp,United States, CMS
0,Consolidated Edison Inc,United States, ED
0,Constellation Energy Corp,United States,CEG
0,Dominion Energy Inc,United States, D
0,DTE Energy Co,United States, DTE
0,Duke Energy Corp,United States, DUK
0,Edison International,United States, EIX
0,Energy HBR Corp,United States,ENGH
0,Entergy Corp,United States, ETR
0,Evergy Inc,United States, EVRG
0,Eversource Energy,United States, ES
0,Excelerate Energy Inc,United States,EE
0,Exelon Corp,United States, EXC
0,FirstEnergy Corp,United States, FE
0,Genie Energy Ltd,United States, GNE
0,Hallador Energy Co,United States, HNRG
0,Hawaiian Electric Industries Inc,United States,HE
0,Idacorp Inc,United States,IDA
0,MDU Resources Group Inc,United States,MDU
0,MGE Energy Inc,United States,MGEE
0,New Fortress Energy Inc,United States,NFE
0,New Jersey Resources Corp,United States, NJR
0,NextEra Energy Inc,United States, NEE
0,NiSource Inc,United States, NI
0,Northwest Natural Holding Co,United States, NWN
0,NorthWestern Corp,United States,NWE
0,NRG Energy Inc,United States, NRG
0,NSTAR Electric Co,United States,NSARO
0,OGE Energy Corp,United States, OGE
0,ONE Gas Inc,United States, OGS
0,OPAL Fuels Inc,United States,OPAL
0,Otter Tail Corp,United States, OTTR
0,PacifiCorp,United States,PPWLM
0,PG&E Corp,United States, PCG
0,Pinnacle West Capital Corp,United States, PNW
0,PNM Resources Inc,United States, PNM
0,Portland General Electric Co,United States, POR
0,PPL Corp,United States, PPL
0,Public Service Company of New Mexico,United States,PNMXO
0,Public Service Enterprise Group Inc,United States, PEG
0,RGC Resources Inc,United States,RGCO
0,Sempra Energy,United States, SRE
0,Southern Co,United States, SO
0,Southwest Gas Holdings Inc,United States,SWX
0,Spire Inc,United States, SR
0,Suburban Propane Partners LP,United States,SPH
0,The AES Corp,United States, AES
0,The Connecticut Light & Power Co,United States,CNLHN
0,UGI Corp,United States, UGI
0,Union Electric Co,United States,UELMO
0,Unitil Corp,United States,UTL
0,Via Renewables Inc,United States, VIA
0,Vistra Corp,United States, VST
0,WEC Energy Group Inc,United States, WEC
0,Wisconsin Electric Power Co,United States,WELPM
0,Xcel Energy Inc,United States, XEL
0,China Natural Resources Inc,"Virgin Islands, British",CHNR
0,Feishang Anthracite Resources Ltd,"Virgin Islands, British", FSHRF
0,National Energy Services Reunited Corp,"Virgin Islands, British",NESR
0,Orca Energy Group Inc,"Virgin Islands, British", ORXGF
0,Petro-Victory Energy Corp,"Virgin Islands, British", PTVRF
0,Solgenics Ltd,"Virgin Islands, British", NCDZF
