,0,1,2
0,AAC Technologies Holdings Inc,Cayman Islands, AACAF
0,Agile Group Holdings Ltd,Cayman Islands, AGPYF
0,Alibaba Group Holding Ltd,Cayman Islands, BABA
0,Ambarella Inc,Cayman Islands, AMBA
0,AMTD Digital Inc,Cayman Islands,HKD
0,ANTA Sports Products Ltd,Cayman Islands, ANPDF
0,ASMPT Ltd,Cayman Islands, ASMVF
0,Ausnutria Dairy Corp Ltd,Cayman Islands, AUDYF
0,Autohome Inc,Cayman Islands, ATHM
0,Baidu Inc,Cayman Islands, BAIDF
0,BeiGene Ltd,Cayman Islands, BGNE
0,Bilibili Inc,Cayman Islands, BILI
0,Budweiser Brewing Co APAC Ltd,Cayman Islands, BDWBF
0,China Conch Venture Holdings Ltd,Cayman Islands, CCVTF
0,China Education Group Holdings Ltd,Cayman Islands, CEGHF
0,China Evergrande Group,Cayman Islands, EGRNF
0,China Hongqiao Group Ltd,Cayman Islands, CHHQF
0,China Literature Ltd,Cayman Islands, CHLLF
0,China Medical System Holdings Ltd,Cayman Islands, CHSYF
0,China Mengniu Dairy Co Ltd,Cayman Islands, CIADF
0,China Resources Cement Holdings Ltd,Cayman Islands, CARCY
0,China Resources Land Ltd,Cayman Islands, CRBJF
0,China State Construction International Holdings Ltd,Cayman Islands, CCOHF
0,Chow Tai Fook Jewellery Group Ltd,Cayman Islands, CJEWF
0,CK Asset Holdings Ltd,Cayman Islands, CHKGF
0,CK Hutchison Holdings Ltd,Cayman Islands, CKHUF
0,Country Garden Holdings Co Ltd,Cayman Islands, CTRYF
0,Country Garden Services Holdings Co Ltd,Cayman Islands, CGSHY
0,Dali Foods Group Co Ltd,Cayman Islands, DLLFF
0,Dingdong (Cayman) Ltd,Cayman Islands, DDL
0,Diversey Holdings Ltd,Cayman Islands,DSEY
0,DLocal Ltd,Cayman Islands,DLO
0,ENN Energy Holdings Ltd,Cayman Islands, XNGSF
0,ESR Group Ltd,Cayman Islands, ESRCF
0,Fabrinet,Cayman Islands,FAN
0,Farfetch Ltd,Cayman Islands, FTCH
0,FIT Hon Teng Ltd,Cayman Islands, FITGF
0,Full Truck Alliance Co Ltd,Cayman Islands, YMM
0,Futu Holdings Ltd,Cayman Islands, FUTU
0,Galaxy Digital Holdings Ltd,Cayman Islands, BRPHF
0,GDS Holdings Ltd,Cayman Islands, GDS
0,Geely Automobile Holdings Ltd,Cayman Islands, GELYF
0,GLOBALFOUNDRIES Inc,Cayman Islands, GFS
0,Greentown China Holdings Ltd,Cayman Islands, GTWCF
0,H World Group Ltd,Cayman Islands, HTHT
0,Haidilao International Holding Ltd,Cayman Islands, HDALF
0,Health and Happiness (H&H) International Holdings Ltd,Cayman Islands, BTSDF
0,Hello Group Inc,Cayman Islands, MOMO
0,Hengan International Group Co Ltd,Cayman Islands, HEGIF
0,Herbalife Nutrition Ltd,Cayman Islands,HLF
0,HKT Trust and HKT Ltd,Cayman Islands, HKTTF
0,HUTCHMED (China) Ltd,Cayman Islands, HCM
0,JD.com Inc,Cayman Islands, JD
0,JOYY Inc,Cayman Islands, YY
0,JS Global Lifestyle Co Ltd,Cayman Islands, JGLCF
0,Kanzhun Ltd,Cayman Islands, BZ
0,Kingboard Holdings Ltd,Cayman Islands, KBDCF
0,Kingboard Laminates Holdings Ltd,Cayman Islands, KGBLF
0,Kingsoft Corp Ltd,Cayman Islands, KSFTF
0,KWG Group Holdings Ltd,Cayman Islands, KWGPF
0,Lee & Man Paper Manufacturing Ltd,Cayman Islands, LMPMF
