,Company,Country,Ticker
4172,AAC Technologies Holdings Inc,Cayman Islands, AACAF
4173,AAG Energy Holdings Ltd,Cayman Islands, AAGEF
4174,Agile Group Holdings Ltd,Cayman Islands, AGPYF
4175,Alibaba Group Holding Ltd,Cayman Islands, BABA
4176,Ambarella Inc,Cayman Islands, AMBA
4177,AMTD Digital Inc,Cayman Islands,HKD
4178,ANTA Sports Products Ltd,Cayman Islands, ANPDF
4179,Anton Oilfield Services Group,Cayman Islands, ATONF
4180,ASMPT Ltd,Cayman Islands, ASMVF
4181,Ausnutria Dairy Corp Ltd,Cayman Islands, AUDYF
4182,Autohome Inc,Cayman Islands, ATHM
4183,Baidu Inc,Cayman Islands, BAIDF
4184,BeiGene Ltd,Cayman Islands, BGNE
4185,Bilibili Inc,Cayman Islands, BILI
4186,Brooge Energy Ltd,Cayman Islands, BROG
4187,Budweiser Brewing Co APAC Ltd,Cayman Islands, BDWBF
4188,China Conch Venture Holdings Ltd,Cayman Islands, CCVTF
4189,China Education Group Holdings Ltd,Cayman Islands, CEGHF
4190,China Evergrande Group,Cayman Islands, EGRNF
4191,China Hongqiao Group Ltd,Cayman Islands, CHHQF
4192,China Literature Ltd,Cayman Islands, CHLLF
4193,China Medical System Holdings Ltd,Cayman Islands, CHSYF
4194,China Mengniu Dairy Co Ltd,Cayman Islands, CIADF
4195,China Resources Cement Holdings Ltd,Cayman Islands, CARCY
4196,China Resources Land Ltd,Cayman Islands, CRBJF
4197,China State Construction International Holdings Ltd,Cayman Islands, CCOHF
4198,Chow Tai Fook Jewellery Group Ltd,Cayman Islands, CJEWF
4199,CIMC Enric Holdings Ltd,Cayman Islands, CIMEF
4200,CK Asset Holdings Ltd,Cayman Islands, CHKGF
4201,CK Hutchison Holdings Ltd,Cayman Islands, CKHUF
4202,Country Garden Holdings Co Ltd,Cayman Islands, CTRYF
4203,Country Garden Services Holdings Co Ltd,Cayman Islands, CGSHY
4204,Dali Foods Group Co Ltd,Cayman Islands, DLLFF
4205,Dingdong (Cayman) Ltd,Cayman Islands, DDL
4206,Diversey Holdings Ltd,Cayman Islands,DSEY
