,Company,Country,CreatedDate,Ticker,Quantity,Stock_Price,Invested_Value,ESGScore
6070,Bollore SA,France,4/14/2020, BOIVF,10000,2.769999981,27699.99981,1.587301587
6172,Bollore SA,France,5/19/2020, BOIVF,10000,2.769999981,27699.99981,1.587301587
6274,Bollore SA,France,6/10/2020, BOIVF,10000,3.420000076,34200.00076,1.587301587
6376,Bollore SA,France,7/16/2020, BOIVF,10000,3.400000095,34000.00095,1.587301587
6478,Bollore SA,France,8/11/2020, BOIVF,10000,3.74000001,37400.0001,1.587301587
6582,Bollore SA,France,9/28/2020, BOIVF,10000,3.75,37500.0,1.587301587
6693,Bollore SA,France,11/11/2020, BOIVF,10000,4.050000191,40500.00191,1.587301587
6805,Bollore SA,France,1/21/2021, BOIVF,10000,4.329999924,43299.99924,1.587301587
6919,Bollore SA,France,3/3/2021, BOIVF,10000,4.96999979,49699.9979,1.587301587
7032,Bollore SA,France,4/1/2021, BOIVF,10000,4.920000076,49200.00076,1.587301587
7146,Bollore SA,France,5/3/2021, BOIVF,10000,5.179999828,51799.99828,1.587301587
7260,Bollore SA,France,7/15/2021, BOIVF,10000,5.420000076,54200.00076,1.587301587
7373,Bollore SA,France,8/9/2021, BOIVF,10000,5.699999809,56999.99809,1.587301587
7485,Bollore SA,France,9/2/2021, BOIVF,10000,6.079999924,60799.99924,1.587301587
7597,Bollore SA,France,9/9/2021, BOIVF,10000,6.079999924,60799.99924,1.587301587
7708,Bollore SA,France,10/19/2021, BOIVF,10000,6.090000153,60900.00153,1.587301587
7819,Bollore SA,France,10/29/2021, BOIVF,10000,5.889999866,58899.99866,1.587301587
7930,Bollore SA,France,12/14/2021, BOIVF,10000,5.150000095,51500.00095,1.587301587
8043,Bollore SA,France,1/25/2022, BOIVF,10000,5.320000172,53200.00172,1.587301587
8156,Bollore SA,France,2/9/2022, BOIVF,10000,5.739999771,57399.99771,1.587301587
8269,Bollore SA,France,2/16/2022, BOIVF,10000,5.599999905,55999.99905,1.587301587
8383,Bollore SA,France,3/16/2022, BOIVF,10000,5.130000114,51300.00114,1.587301587
8492,Bollore SE,France,4/11/2022, BOIVF,10000,4.989999771,49899.99771,1.587301587
8601,Bollore SE,France,5/11/2022, BOIVF,10000,5.0,50000.0,1.587301587
8710,Bollore SE,France,6/14/2022, BOIVF,10000,4.96999979,49699.9979,1.587301587
8819,Bollore SE,France,7/15/2022, BOIVF,10000,4.659999847,46599.99847,1.587301587
8927,Bollore SE,France,8/8/2022, BOIVF,10000,5.039999962,50399.99962,1.587301587
9035,Bollore SE,France,9/14/2022, BOIVF,10000,4.809999943,48099.99943,1.587301587
9143,Bollore SE,France,10/19/2022, BOIVF,10000,4.78000021,47800.0021,1.587301587
9250,Bollore SE,France,11/9/2022, BOIVF,10000,5.119999886,51199.99886,1.587301587
9358,Bollore SE,France,12/16/2022, BOIVF,10000,5.460000038,54600.00038,1.587301587
9458,Bollore SE,France,1/27/2023, BOIVF,10000,5.739999771,57399.99771,1.587301587
9558,Bollore SE,France,2/8/2023, BOIVF,10000,5.570000172,55700.00172,1.587301587
9658,Bollore SE,France,2/24/2023, BOIVF,10000,5.53000021,55300.0021,1.587301587
9757,Bollore SE,France,3/9/2023, BOIVF,10000,5.630000114,56300.00114,1.587301587
21,CIMC Enric Holdings Ltd,Cayman Islands,4/14/2020, CIMEF,10000,0.649999976,6499.99976,0.396825397
