CreatedYear,CreatedMonth,Invested_Value
2020,4,22987228.73817
2020,5,23406542.55937
2020,6,27349167.08325
2020,7,28101286.21783
2020,8,27769871.12557
2020,9,29395758.22049
2020,11,31335941.23094
2021,1,36541342.93332
2021,3,37365982.52818
2021,4,36381934.82254
2021,5,38738399.77433
2021,7,41263329.88045
2021,8,42174093.88855
2021,9,42538552.20225
2021,10,42861319.62372
2021,12,38324063.41078
2022,1,36735448.51438
2022,2,35712818.71144
2022,3,32662194.05718
2022,4,32934265.45489
2022,7,29715307.96425
2022,8,32371048.21773
2022,9,31245855.97596
2022,10,28009379.57617
2022,11,27905399.24977
2022,12,29877849.32911
2023,1,31872695.99989
2023,2,37368781.42099
2023,3,37056638.00943
2023,4,37272279.623769335
2023,5,37489246.19958279
2023,6,37707546.11956985
2023,7,37927187.82039114
2023,8,38148179.79302003
2023,9,38370530.5830968
2023,10,38594248.79128496
2023,11,38819343.073630005
2023,12,39045822.14192051
2024,1,39273694.76405161
2024,2,39502969.76439088
2024,3,39733656.02414662
2024,4,39965762.481738575
2024,5,40199298.1331711
2024,6,40434272.03240878
2024,7,40670693.291754566
2024,8,40908571.08223032
2024,9,41147914.63395995
2024,10,41388733.23655508
2024,11,41631036.23950317
2024,12,41874833.05255831
2025,1,42120133.14613454
2025,2,42366946.051701725
2025,3,42615281.36218413
2025,4,42865148.73236159
2025,5,43116557.8792733
2025,6,43369518.5826243
2025,7,43624040.68519464
2025,8,43880134.093251206
2025,9,44137808.776962414
2025,10,44397074.77081543
2025,11,44657942.17403626
2025,12,44920421.15101267
2026,1,45184521.93171976
2026,2,45450254.81214849
2026,3,45717630.154736914
2026,4,45986658.38880437
2026,5,46257350.01098844
2026,6,46529715.58568491
2026,7,46803765.74549053
2026,8,47079511.19164877
2026,9,47356962.69449849
2026,10,47636131.09392558
2026,11,47917027.299817614
2026,12,48199662.29252149
2027,1,48484047.12330405
2027,2,48770192.91481585
2027,3,49058110.86155791
2027,4,49347812.23035157
2027,5,49639308.36081149
2027,6,49932610.66582172
2027,7,50227730.63201499
2027,8,50524679.82025509
2027,9,50823469.86612256
2027,10,51124112.4804034
2027,11,51426619.44958125
2027,12,51731002.63633265
2028,1,52037273.98002567
2028,2,52345445.49722177
2028,3,52655529.28218106
2028,4,52967537.50737083
2028,5,53281482.423977554
2028,6,53597376.36242212
2028,7,53915231.732878655
2028,8,54235061.02579664
