Ticker,CreatedDate,Quantity,Stock_Price,Invested_Value,ESGScore,Climate,Country,Company,Latitude
AACAF,4/14/2020,10000,4.960000038,49600.00038,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,5/19/2020,10000,5.309999943,53099.99943,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,06-10-2020,10000,5.309999943,53099.99943,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,7/16/2020,10000,6.829999924,68299.99924,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,08-11-2020,10000,8.090000153,80900.00153,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,9/28/2020,10000,5.550000191,55500.00191,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,11-11-2020,10000,5.800000191,58000.00191,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,1/21/2021,10000,5.949999809,59499.99809,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,03-03-2021,10000,5.409999847,54099.99847,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,04-01-2021,10000,5.019999981,50199.99981,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,05-03-2021,10000,5.019999981,50199.99981,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,7/15/2021,10000,7.539999962,75399.99962,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,08-09-2021,10000,6.320000172,63200.00172,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,09-02-2021,10000,5.420000076,54200.00076,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
AACAF,10/19/2021,10000,4.010000229,40100.00229,0.396825397,GenderEquality,Cayman Islands,AAC Technologies Holdings Inc,19.313299
